Files,Revision Final,Revision in UAT,Files,Found in PRD?,Revision in PRD,Revision Different?,Revision PRD > UAT?,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean,
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\constant\bail\BailConstant.java,91672,91672,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/bail/BailConstant.java,87039,87039,Y,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/bail/BailConstant.java,svn update -r91672 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/bail/BailConstant.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\constant\charge\ChargeConstant.java,100184,100184,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/charge/ChargeConstant.java,81466,81466,Y,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/charge/ChargeConstant.java,svn update -r100184 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/charge/ChargeConstant.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\constant\detainee\DtnConst.java,98084,98084,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/detainee/DtnConst.java,89685,89685,Y,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/detainee/DtnConst.java,svn update -r98084 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/detainee/DtnConst.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\constant\fip\FipConstant.java,99228,99228,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/fip/FipConstant.java,90914,90914,Y,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/fip/FipConstant.java,svn update -r99228 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/fip/FipConstant.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\constant\itf\JobDescription.java,100075,100075,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/itf/JobDescription.java,99546,99546,Y,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/itf/JobDescription.java,svn update -r100075 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/itf/JobDescription.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\constant\itf\online\ItfOnlineFunctionId.java,98817,97021,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/itf/online/ItfOnlineFunctionId.java,98817,98817,Y,Y,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/itf/online/ItfOnlineFunctionId.java,svn update -r98817 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/itf/online/ItfOnlineFunctionId.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\constant\property\PropertyConstant.java,98941,98711,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/property/PropertyConstant.java,86287,86287,Y,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/property/PropertyConstant.java,svn update -r98941 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/property/PropertyConstant.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\constant\safe\SafeConst.java,98711,98711,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/safe/SafeConst.java,86287,86287,Y,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/safe/SafeConst.java,svn update -r98711 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/constant/safe/SafeConst.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\bail\dto\BailInspectRegistryDto.java,89377,89377,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/bail/dto/BailInspectRegistryDto.java,86287,86287,Y,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/bail/dto/BailInspectRegistryDto.java,svn update -r89377 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/bail/dto/BailInspectRegistryDto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\detainee\dto\DetentSearchDto.java,93558,93558,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/detainee/dto/DetentSearchDto.java,77828,77828,Y,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/detainee/dto/DetentSearchDto.java,svn update -r93558 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/detainee/dto/DetentSearchDto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\detainee\dto\GetDetaineeDtlResponseDto.java,97977,97977,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/detainee/dto/GetDetaineeDtlResponseDto.java,69696,69696,Y,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/detainee/dto/GetDetaineeDtlResponseDto.java,svn update -r97977 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/detainee/dto/GetDetaineeDtlResponseDto.java
